Specie,Control,Patient
Prevotella_copri_clade_A,21.0444354545455,14.9453933333333
Phocaeicola_vulgatus,8.34699545454546,2.73427916666667
Faecalibacterium_prausnitzii,6.13494454545455,5.12791083333333
Bacteroides_uniformis,3.03349272727273,4.757315
Clostridia_bacterium,2.84805181818182,2.70084916666667
Akkermansia_muciniphila,2.59811909090909,0.968531666666667
Bacteroides_ovatus,1.47511545454545,0.877111666666667
Sutterella_wadsworthensis,1.24302909090909,0.798755833333333
Barnesiella_intestinihominis,1.26867181818182,0.9642175
Bacteroides_caccae,0.897610909090909,1.9278575
